GeneID	GeneSymbol	Chromosome	Start	End	Class	Strand	Length	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
7411	ENSG00000169972.13	PUSL1	chr1	1308597	1311677	protein_coding	+	3080	23.7512896089616	0.537338070139927	0.315238514219841	1.70454448267447	0.0882794131143934	NA
3665	ENSG00000127054.22	INTS11	chr1	1311585	1324687	protein_coding	-	13102	188.73246832538	-0.0785936543014771	0.149051953562341	-0.527290333491707	0.597991985990311	0.904938152329804
9794	ENSG00000224051.7	CPTP	chr1	1324756	1328896	protein_coding	+	4140	18.7356714071359	-0.314788422366657	0.390959522227887	-0.805168833266503	0.420722258978656	NA
2168	ENSG00000107404.21	DVL1	chr1	1335276	1349418	protein_coding	-	14142	114.91692517445	-0.140301285627957	0.179720631384099	-0.780663213496642	0.435000602018438	NA
6415	ENSG00000162576.17	MXRA8	chr1	1352689	1361777	protein_coding	-	9088	54.766898908994	-0.125695036608379	0.232376810407048	-0.540910413514164	0.588569332889746	NA
7958	ENSG00000175756.14	AURKAIP1	chr1	1373730	1375207	protein_coding	-	1477	80.2020437713627	0.116686162759265	0.211293780308583	0.552246084048719	0.580779764597758	NA
9756	ENSG00000221978.13	CCNL2	chr1	1385711	1399335	protein_coding	-	13624	590.755413484365	-0.0716418112727088	0.119277385677586	-0.600631971146325	0.548085138700987	0.879614516017806
9831	ENSG00000224870.9	MRPL20-AS1	chr1	1399515	1402046	lncRNA	+	2531	46.6228363495163	-0.274786219210946	0.247301600518564	-1.11113805424126	0.266508930061616	NA
10404	ENSG00000242485.6	MRPL20	chr1	1401909	1407293	protein_coding	-	5384	206.572584055741	-0.0426911493893547	0.141230614112916	-0.302279712210431	0.762438842704151	0.950792801350274
11256	ENSG00000272455.1	MRPL20-DT	chr1	1409096	1410618	lncRNA	+	1522	17.9084207864452	-0.044128357536695	0.379015932447111	-0.11642876660034	0.907312737971728	NA
6224	ENSG00000160072.20	ATAD3B	chr1	1471765	1497848	protein_coding	+	26083	341.222792782897	-0.30111508156137	0.127780834621446	-2.35649643746208	0.0184482446017042	0.218709189253699
9199	ENSG00000197785.14	ATAD3A	chr1	1512162	1534685	protein_coding	+	22523	205.411428481205	-0.185041638706921	0.145095601986902	-1.27530839097125	0.20220010892766	0.640695781917241
6225	ENSG00000160075.12	SSU72	chr1	1541673	1574863	protein_coding	-	33190	676.507833381414	-0.165040214211212	0.127991683451086	-1.28946045368866	0.197238056202795	0.634481499624768
9707	ENSG00000215014.5	ENSG00000215014	chr1	1574102	1577075	lncRNA	+	2973	10.7432462010601	0.063984805334343	0.48542493964233	0.131811944770469	0.89513303843209	NA
11239	ENSG00000272106.1	ENSG00000272106	chr1	1613758	1615795	lncRNA	-	2037	13.0411783714324	-0.0127828646600669	0.404227145040806	-0.0316229744016238	0.974772721627334	NA
9169	ENSG00000197530.13	MIB2	chr1	1615454	1630605	protein_coding	+	15151	31.8518080995358	-0.328636042834935	0.290748581854024	-1.13031004567353	0.258345603077594	NA
10525	ENSG00000248333.9	CDK11B	chr1	1635225	1659012	protein_coding	-	23787	160.948845959114	0.0425698697162099	0.151985012423512	0.280092550162692	0.779406500159024	0.953785295847506
8953	ENSG00000189339.12	SLC35E2B	chr1	1659529	1692795	protein_coding	-	33266	226.263794692889	0.132163489510271	0.119969421303109	1.10164313601508	0.270616847304798	0.710026488274425
11827	ENSG00000290854.1	ENSG00000290854	chr1	1724838	1745992	lncRNA	-	21154	13.5439138278675	0.758531483517147	0.472798706636368	1.60434339787765	0.108638380087954	NA
121	ENSG00000008130.15	NADK	chr1	1751232	1780457	protein_coding	-	29225	645.120188248892	-0.160964287745201	0.084982267545118	-1.89409264302984	0.0582127140833387	0.38236837692038
933	ENSG00000078369.19	GNB1	chr1	1785285	1892292	protein_coding	-	107007	3549.52713280405	0.0551997578904449	0.0632330387236773	0.872957539359493	0.382686221828013	0.791124715213764
668	ENSG00000067606.17	PRKCZ	chr1	2050411	2185395	protein_coding	+	134984	281.989174321388	0.186581953925747	0.11381329905334	1.63936864564749	0.101136507504199	0.488335282260343
6416	ENSG00000162585.17	FAAP20	chr1	2184461	2212720	protein_coding	-	28259	77.9032798711646	-0.0932328960640295	0.230958387273091	-0.403678329957287	0.686449276820329	NA
6095	ENSG00000157933.11	SKI	chr1	2227388	2310213	protein_coding	+	82825	1025.65297940474	-0.113141921602202	0.0959933414910889	-1.17864343343757	0.238540188927382	0.682927669481384
2877	ENSG00000116151.14	MORN1	chr1	2321253	2391707	protein_coding	-	70454	88.0964145551874	-0.0970368253060506	0.180524459829955	-0.537527299056617	0.590903433277587	NA
6093	ENSG00000157916.20	RER1	chr1	2391775	2405442	protein_coding	+	13667	306.721494581607	-0.00250096005893615	0.127355501634931	-0.0196376287386879	0.984332446221763	0.9985042407763
6092	ENSG00000157911.11	PEX10	chr1	2403964	2413797	protein_coding	-	9833	64.5978263253277	-0.107720717250334	0.180890879869975	-0.595501096173365	0.551508566597839	NA
6090	ENSG00000157881.16	PANK4	chr1	2508537	2526597	protein_coding	-	18060	209.704830709171	0.0324538066431555	0.137673236771627	0.235730686691053	0.813641656293545	0.95836208659713
6089	ENSG00000157870.17	PRXL2B	chr1	2586491	2591469	protein_coding	+	4978	15.2236781799152	0.228404252372433	0.445921511435717	0.5122072977306	0.608505936192262	NA
6106	ENSG00000158109.15	TPRG1L	chr1	3625015	3630127	protein_coding	+	5112	27.1904512365088	0.199076356363133	0.332248638330325	0.59917884799639	0.549053626375533	NA
2886	ENSG00000116213.16	WRAP73	chr1	3630767	3652761	protein_coding	-	21994	142.21424116563	-0.0569298670904644	0.125845413422894	-0.452379356084723	0.650995716300767	0.919850501076953
944	ENSG00000078900.15	TP73	chr1	3652516	3736201	protein_coding	+	83685	228.569959863219	0.369781207948806	0.161149852350363	2.29464192833915	0.0217536533306834	0.238218046405761
9935	ENSG00000227372.12	TP73-AS1	chr1	3735511	3747373	transcribed_unitary_pseudogene	-	11862	181.013523063996	0.191255034304154	0.167609511786216	1.14107506349698	0.253838687356978	0.697357671031897
10234	ENSG00000235169.11	SMIM1	chr1	3772749	3775982	protein_coding	+	3233	37.0955562769533	-0.104375308746891	0.300691275807812	-0.347117848585679	0.728502784977841	NA
3922	ENSG00000130764.10	LRRC47	chr1	3778559	3796498	protein_coding	-	17939	285.835625619728	-0.177795006625995	0.115507725930386	-1.53924774463267	0.123743825722462	0.533476240811854
2881	ENSG00000116198.14	CEP104	chr1	3812086	3857396	protein_coding	-	45310	372.257443461928	-0.0812195486287583	0.142927902574047	-0.568255373275914	0.56986157672037	0.892611567457907
7364	ENSG00000169598.17	DFFB	chr1	3857267	3885429	protein_coding	+	28162	189.547953034664	-0.0577953460530382	0.14197707090519	-0.407075210698163	0.683952749575795	0.928964863352638
9398	ENSG00000198912.12	C1orf174	chr1	3889125	3900293	protein_coding	-	11168	180.249674485763	-0.0869907043913737	0.151146090179439	-0.575540553434756	0.564925772173079	0.889699189566398
10280	ENSG00000236423.8	LINC01134	chr1	3900347	3917225	lncRNA	+	16878	63.2739347457748	0.359625041663871	0.259996503338916	1.38319183929595	0.166606051328689	NA
11496	ENSG00000284668.2	LINC02780	chr1	3976133	4012704	lncRNA	+	36571	491.83040962904	-0.131913318135529	0.231861572250646	-0.568931353544558	0.569402726740573	0.892607026589017
4004	ENSG00000131697.18	NPHP4	chr1	5862811	5992473	protein_coding	-	129662	723.275260592922	-0.149986942241422	0.0891558578779988	-1.68230047706641	0.0925105886744557	0.474996269032011
707	ENSG00000069424.16	KCNAB2	chr1	5990927	6101193	protein_coding	+	110266	269.413026776462	0.175411434695172	0.152440383998102	1.15068874857568	0.249860306988113	0.693817690006806
11525	ENSG00000285629.1	ENSG00000285629	chr1	6159430	6197757	protein_coding	-	38327	26.2112604642948	-0.223485718656318	0.358467136114651	-0.623448277793696	0.532989981022185	NA
2889	ENSG00000116251.11	RPL22	chr1	6185020	6209389	protein_coding	-	24369	383.951776221937	-0.347956990179507	0.121114876358372	-2.87295005074292	0.00406658405693759	0.0866943402313801
6114	ENSG00000158286.13	RNF207	chr1	6205475	6221299	protein_coding	+	15824	67.1610160403557	-0.463723894251862	0.23479593294172	-1.9750082058149	0.0482672167980111	NA
2888	ENSG00000116237.16	ICMT	chr1	6221193	6235972	protein_coding	-	14779	291.733972210189	0.000266324952721912	0.123535785499783	0.00215585266766592	0.998279879773538	0.999684543352067
6116	ENSG00000158292.7	GPR153	chr1	6247353	6261098	protein_coding	-	13745	17.886427484133	-0.464267851712174	0.386591405286463	-1.20092647007543	0.229779725297504	NA
1352	ENSG00000097021.21	ACOT7	chr1	6264269	6393767	protein_coding	-	129498	693.803858349074	-0.1518820385286	0.126238696807482	-1.20313376460329	0.228924561193346	0.674304740517343
8792	ENSG00000187017.18	ESPN	chr1	6424776	6461367	protein_coding	+	36591	27.4211800018552	-0.346585726049849	0.40260294962587	-0.86086236171872	0.389313853541105	NA
6398	ENSG00000162408.11	NOL9	chr1	6521347	6554513	protein_coding	-	33166	916.016525384033	-0.129406904751772	0.0565852378115178	-2.28693754337162	0.0221994688657631	0.239787151852265
9527	ENSG00000204859.13	ZBTB48	chr1	6579994	6589280	protein_coding	+	9286	151.611578722639	-0.0858403162636541	0.185996442554674	-0.461515903662625	0.644428513985518	0.917681307708674
6399	ENSG00000162413.17	KLHL21	chr1	6590724	6614607	protein_coding	-	23883	424.74154674925	-0.335898890904908	0.0811978527694826	-4.13679524086075	3.52190118759052e-05	0.00321563670633236
2892	ENSG00000116273.6	PHF13	chr1	6613731	6624030	protein_coding	+	10299	207.723708312061	0.00616519957794098	0.137253470501093	0.0449183511020355	0.964172389542958	0.996425356790603
376	ENSG00000041988.16	THAP3	chr1	6624868	6635586	protein_coding	+	10718	60.8814947151134	-0.298443108382993	0.192774048280939	-1.5481498212252	0.121586229326888	NA
115	ENSG00000007923.17	DNAJC11	chr1	6634168	6701924	protein_coding	-	67756	2104.59502218626	-0.196166005852226	0.0833862726692123	-2.35249759430313	0.0186478103931836	0.220358485537603
7590	ENSG00000171735.21	CAMTA1	chr1	6785454	7769706	protein_coding	+	984252	1655.54038859857	0.0331833659783265	0.083735505706683	0.396287879296562	0.691892667804143	0.932628848393419
427	ENSG00000049245.13	VAMP3	chr1	7771296	7781432	protein_coding	+	10136	282.13075708665	-0.10643506070957	0.166733094599285	-0.638355936266692	0.523242007580396	0.864864068353507
428	ENSG00000049246.15	PER3	chr1	7784291	7845177	protein_coding	+	60886	233.750903857174	-0.0640845205715175	0.126251061755514	-0.507595894089332	0.611736770686097	0.910231808766054
10274	ENSG00000236266.1	ENSG00000236266	chr1	7810242	7827342	lncRNA	-	17100	138.410644556529	0.0412040810395842	0.138971607984507	0.296492799048406	0.766853765419239	NA
2894	ENSG00000116288.13	PARK7	chr1	7954291	7985505	protein_coding	+	31214	810.140461157279	-0.115616678265547	0.0771191706352984	-1.49919504207723	0.133823040878196	0.548201036850479
11501	ENSG00000284747.1	ENSG00000284747	chr1	7991134	8005312	lncRNA	+	14178	38.2400360314995	-0.0462799202585009	0.310449125919984	-0.149074087811828	0.881495172327274	NA
2893	ENSG00000116285.13	ERRFI1	chr1	8004404	8026309	protein_coding	-	21905	115.179667247096	-0.21124416730047	0.2001099599835	-1.05564044547252	0.291132515239334	NA
5048	ENSG00000142599.20	RERE	chr1	8352397	8848921	protein_coding	-	496524	14491.0267367782	0.111180640345738	0.077903276355386	1.42716257322149	0.153533039679246	0.575531821234645
838	ENSG00000074800.16	ENO1	chr1	8861000	8879190	protein_coding	-	18190	3649.23090049121	-0.148975898160641	0.190653488902437	-0.781396128747878	0.434569547299046	0.821028711672033
426	ENSG00000049239.13	H6PD	chr1	9234774	9271337	protein_coding	+	36563	157.381739176075	0.102950460071301	0.125249879664199	0.821960550759141	0.411099349308623	0.806006274656434
7581	ENSG00000171612.7	SLC25A33	chr1	9539465	9585173	protein_coding	+	45708	1290.33800503515	-0.208322675094126	0.0877720664291795	-2.37345072947798	0.0176227440520429	0.213789395812721
8908	ENSG00000188807.13	TMEM201	chr1	9588911	9614877	protein_coding	+	25966	241.671060984241	-0.326296393070283	0.126642043678779	-2.57652501169293	0.00997989849623593	0.156230072415901
7580	ENSG00000171608.18	PIK3CD	chr1	9629889	9729114	protein_coding	+	99225	95.039988397999	-0.116865156750059	0.179282193562608	-0.651850328400001	0.514497730893536	NA
10101	ENSG00000231789.4	PIK3CD-AS2	chr1	9672405	9687583	lncRNA	-	15178	44.0849632659344	-0.0379805188829722	0.249953604929752	-0.151950274506528	0.879226155312429	NA
7577	ENSG00000171603.18	CLSTN1	chr1	9728926	9823984	protein_coding	-	95058	202.516942698495	0.183314823327301	0.138287301115223	1.32560851104152	0.184969405605825	0.619144929331323
8157	ENSG00000178585.15	CTNNBIP1	chr1	9848276	9910336	protein_coding	-	62060	371.839008542544	0.0171839708237032	0.109293171382039	0.157228220266716	0.875064988335901	0.974778461700052
6406	ENSG00000162441.12	LZIC	chr1	9922113	9943407	protein_coding	-	21294	222.756821615931	0.0412914465819211	0.146271626122531	0.282292934566348	0.777718902766098	0.95365854866471
7771	ENSG00000173614.14	NMNAT1	chr1	9943428	9985501	protein_coding	+	42073	193.67433585714	0.0747551718458933	0.201239893195187	0.371472925467053	0.710285317978129	0.939186502990274
3940	ENSG00000130939.20	UBE4B	chr1	10032832	10181239	protein_coding	+	148407	4218.92935833621	0.117423983057966	0.0578237349302084	2.0307229064275	0.0422831113325614	0.330400454228019
474	ENSG00000054523.20	KIF1B	chr1	10210570	10381603	protein_coding	+	171033	1294.20317814692	0.137721862843154	0.262578954498939	0.524496957899612	0.599932935134483	0.905613049703005
5053	ENSG00000142657.21	PGD	chr1	10398592	10420511	protein_coding	+	21919	813.439948369347	-0.0347344206225852	0.064221739456124	-0.540851445581221	0.588609979943053	0.902384228534904
10655	ENSG00000251503.8	CENPS-CORT	chr1	10430102	10452153	protein_coding	+	22051	14.5023657686053	-0.313530111396873	0.471246529276421	-0.665320786294778	0.505845338314549	NA
6218	ENSG00000160049.12	DFFA	chr1	10456522	10472529	protein_coding	-	16007	471.505949576442	-0.173858354238799	0.114104212152273	-1.52368042300475	0.127588562191053	0.538168356232471
5052	ENSG00000142655.13	PEX14	chr1	10472288	10630758	protein_coding	+	158470	3144.52224446119	0.0385223343099154	0.0464348239953739	0.829600093105838	0.406764924123243	0.805123729672864
3248	ENSG00000120948.19	TARDBP	chr1	11012344	11030528	protein_coding	+	18184	1070.37488955122	0.00882594429138328	0.0862141314280426	0.102372362224048	0.918461120146865	0.985346356868447
2915	ENSG00000116649.10	SRM	chr1	11054584	11060020	protein_coding	-	5436	275.781037600588	-0.195744900923815	0.140466113911993	-1.39353823831459	0.163457090249479	0.587615340819413
7599	ENSG00000171824.14	EXOSC10	chr1	11066618	11099869	protein_coding	-	33251	760.790050806623	0.0146480628862791	0.0798245764254931	0.18350317085555	0.854403231036288	0.969190194713089
9359	ENSG00000198793.14	MTOR	chr1	11106535	11262556	protein_coding	-	156021	3127.85131645096	-0.0679296358785325	0.0527926418148757	-1.28672545156457	0.198189998686789	0.634887205810799
3247	ENSG00000120942.14	UBIAD1	chr1	11273198	11296049	protein_coding	+	22851	322.658859493965	-0.296444645968927	0.121969151628956	-2.43048870972511	0.0150784758304378	0.195560689551304
2918	ENSG00000116670.16	MAD2L2	chr1	11658918	11691811	protein_coding	-	32893	109.796296790338	0.0370188500719549	0.154502651841937	0.239600095083331	0.810640291054365	NA
2916	ENSG00000116663.11	FBXO6	chr1	11664200	11674354	protein_coding	+	10154	32.7841065675414	0.149038263355533	0.31860781591875	0.467779683702237	0.639942150665833	NA
8094	ENSG00000177674.16	AGTRAP	chr1	11736084	11754802	protein_coding	+	18718	216.810513405732	0.0146300349663502	0.139318398098758	0.105011507209403	0.916366677774745	0.985114641941891
8041	ENSG00000177000.13	MTHFR	chr1	11785723	11806455	protein_coding	-	20732	440.482495979768	-0.0411941073541973	0.120174016706997	-0.342787138875743	0.731758602103738	0.944292383705903
167	ENSG00000011021.23	CLCN6	chr1	11806096	11848079	protein_coding	+	41983	798.803917302419	0.147119392243791	0.140968945615615	1.04362979804748	0.296656700962957	0.729977727546716
11527	ENSG00000285646.2	ENSG00000285646	chr1	11907940	11914298	lncRNA	+	6358	63.6762971759394	0.250293245959835	0.256656958615816	0.97520537650605	0.32945839572224	NA
9422	ENSG00000201801.1	RNU5E-4P	chr1	11909808	11909927	snRNA	-	119	24.0204800095668	0.102218941158884	0.531710744384186	0.192245393267858	0.847549990301808	NA
2922	ENSG00000116685.17	KIAA2013	chr1	11919591	11926428	protein_coding	-	6837	92.2625235237592	-0.1935804890399	0.158694802558731	-1.21982879034906	0.222529784910051	NA
1033	ENSG00000083444.17	PLOD1	chr1	11934205	11975538	protein_coding	+	41333	500.829701995452	-0.0643942980197663	0.0969688943194921	-0.664071695069562	0.506644425142741	0.858346575317509
2923	ENSG00000116688.18	MFN2	chr1	11980181	12015211	protein_coding	+	35030	829.608440093227	-0.07098761784402	0.0803709917091691	-0.883249246206843	0.377101619294238	0.789195289275383
2924	ENSG00000116691.11	MIIP	chr1	12019466	12032045	protein_coding	+	12579	174.129714215628	-0.162866439931627	0.158392344704754	-1.02824691581663	0.303833694563395	0.732629740531528
3249	ENSG00000120949.15	TNFRSF8	chr1	12063303	12144207	protein_coding	+	80904	667.655233295293	-0.514084954675452	0.173424602388949	-2.96431387239099	0.00303358695816445	0.0737262750399233
293	ENSG00000028137.19	TNFRSF1B	chr1	12166991	12209228	protein_coding	+	42237	573.334502414128	-0.18959737749034	0.200189329108693	-0.94709032861286	0.343592752511091	0.763885300138633
420	ENSG00000048707.15	VPS13D	chr1	12230030	12512047	protein_coding	+	282017	5919.45288619939	0.0251570507015385	0.0911816759448215	0.275900288526856	0.782624652299041	0.954089513734546
6407	ENSG00000162496.9	DHRS3	chr1	12567910	12618210	protein_coding	-	50300	560.234609067787	0.102271749478295	0.111948207666052	0.913563080736205	0.360946473267163	0.774725158317852
2929	ENSG00000116731.23	PRDM2	chr1	13700188	13825079	protein_coding	+	124891	2504.63926472815	-0.044597837012398	0.0927582472660432	-0.480796460981905	0.630661165760409	0.913963537976374
8952	ENSG00000189337.17	KAZN	chr1	13892792	15118043	protein_coding	+	1225251	800.463828209203	-0.480338128733798	0.233418452942902	-2.05784128323092	0.0396053716890969	0.317768761779454
10209	ENSG00000234593.3	KAZN-AS1	chr1	14338825	14419973	lncRNA	-	81148	379.556633250442	-0.33183572500307	0.384764448096148	-0.862438633935713	0.388446188439549	0.793697597193457
7589	ENSG00000171729.14	TMEM51	chr1	15152532	15220478	protein_coding	+	67946	108.185702022991	0.00899649391802991	0.284597631086817	0.0316112747800262	0.974782051910134	NA
5049	ENSG00000142621.21	FHAD1	chr1	15236521	15400283	protein_coding	+	163762	835.651756297621	-0.201825644343037	0.137816405172283	-1.46445297343764	0.14307022320068	0.559092562372294
5051	ENSG00000142634.13	EFHD2	chr1	15409888	15430339	protein_coding	+	20451	229.487539065613	-0.153423790962907	0.145098340341457	-1.05737798655627	0.290339114037635	0.725839012680107
4123	ENSG00000132906.18	CASP9	chr1	15490832	15526534	protein_coding	-	35702	254.887757422548	-0.0201863792504748	0.120453575646988	-0.167586384563916	0.866908683247797	0.972866277315425
2876	ENSG00000116138.13	DNAJC16	chr1	15526813	15592379	protein_coding	+	65566	928.968991550989	-0.0129464965771891	0.0840836529039555	-0.153971623853893	0.877632109632693	0.974778461700052
9144	ENSG00000197312.13	DDI2	chr1	15617458	15669044	protein_coding	+	51586	1438.5152373034	-0.236913385952281	0.106545999602478	-2.22357842468232	0.0261768214972996	0.260050099207968
2936	ENSG00000116786.13	PLEKHM2	chr1	15684320	15734769	protein_coding	+	50449	667.442798386615	0.082027937642093	0.0830208724471121	0.988039937719859	0.323133089146281	0.748637862397692
10182	ENSG00000233954.7	UQCRHL	chr1	15807169	15809348	protein_coding	-	2179	81.420223366044	0.0734635229262578	0.413099440044825	0.177834961282655	0.858852589821303	NA
8236	ENSG00000179743.4	SPEN-AS1	chr1	15834474	15848147	lncRNA	-	13673	44.4278670101782	0.326517077782071	0.261281362908239	1.24967611217163	0.211417886916737	NA
610	ENSG00000065526.13	SPEN	chr1	15836095	15940456	protein_coding	+	104361	4391.23524767868	-0.032104136633577	0.0768640509852859	-0.417674273240201	0.676185284575317	0.926630428667975
2939	ENSG00000116809.12	ZBTB17	chr1	15941869	15976132	protein_coding	-	34263	589.9061295254	0.015859456313942	0.104085144907857	0.152370026750521	0.878895096206754	0.974944240939432
5050	ENSG00000142632.17	ARHGEF19	chr1	16197854	16212652	protein_coding	-	14798	33.2525426767186	-0.407216534377242	0.265648348752239	-1.53291573725173	0.125296617828012	NA
10308	ENSG00000237276.10	ANO7L1	chr1	16216469	16228027	transcribed_unprocessed_pseudogene	-	11558	10.367383089289	0.186243837232139	0.517534061036355	0.359867786980412	0.718946007617134	NA
348	ENSG00000037637.11	FBXO42	chr1	16246840	16352480	protein_coding	-	105640	2093.32192026877	0.0705250433259359	0.0674980285221263	1.04484597358006	0.296094162969116	0.729613591931634
482	ENSG00000055070.17	SZRD1	chr1	16352575	16398145	protein_coding	+	45570	1154.58846225618	-0.0250672547049376	0.0815160866122519	-0.307512979912483	0.758452944815413	0.950274305323361
6049	ENSG00000157191.20	NECAP2	chr1	16440721	16460078	protein_coding	+	19357	252.961335753823	0.0821455816755463	0.165954768709926	0.494987774766084	0.62060875013649	0.910817918639664
9880	ENSG00000226029.1	LINC01772	chr1	16460948	16468481	lncRNA	+	7533	16.0794332255926	0.0369628169187058	0.465970607258253	0.0793243529590699	0.936774636471196	NA
11826	ENSG00000290842.1	CROCCP3	chr1	16467436	16499257	lncRNA	-	31821	51.3752538073675	0.461152717476646	0.258301466519334	1.78532752326487	0.0742082070042515	NA
9741	ENSG00000219481.11	NBPF1	chr1	16562319	16613562	protein_coding	-	51243	170.134418791053	-0.0483488876937228	0.162690399701025	-0.297183409608515	0.766326487233899	0.951537258014418
11860	ENSG00000291072.1	CROCCP2	chr1	16618253	16644686	lncRNA	-	26433	79.7369131620648	0.00675685024017096	0.168624501583061	0.0400703941404545	0.968037004890707	NA
511	ENSG00000058453.17	CROCC	chr1	16740273	16972964	protein_coding	+	232691	58.9230141480096	0.0715521063373714	0.247361598932622	0.289261173303061	0.772381522061056	NA
6185	ENSG00000159363.19	ATP13A2	chr1	16985958	17011928	protein_coding	-	25970	111.568212760641	-0.0415703604927664	0.151241289130984	-0.274861188579027	0.783422886079764	NA
2960	ENSG00000117118.11	SDHB	chr1	17018664	17054032	protein_coding	-	35368	633.779450637276	0.0682981487974344	0.0748398424497059	0.912590761309157	0.361457815086051	0.775342433007471
8194	ENSG00000179051.14	RCC2	chr1	17406760	17439677	protein_coding	-	32917	1355.88026224982	-0.20683076712886	0.116427942347693	-1.77647017509931	0.0756554535340178	0.430940556028534
2964	ENSG00000117148.8	ACTL8	chr1	17755333	17827063	protein_coding	+	71730	14.7431778433766	-0.729986542694101	0.584917352328365	-1.24801656129411	0.212024992315144	NA
6189	ENSG00000159423.17	ALDH4A1	chr1	18871430	18902724	protein_coding	-	31294	210.542869048576	-0.0967502566675192	0.141393526767931	-0.684262277624031	0.49380956260397	0.84957159552957
7415	ENSG00000169991.11	IFFO2	chr1	18904280	18956676	protein_coding	-	52396	21.340644006978	-0.0928445389039801	0.373458552600144	-0.248607344128458	0.803664527038866	NA
3686	ENSG00000127481.15	UBR4	chr1	19074510	19210266	protein_coding	-	135756	5392.57284924657	0.0888382267098102	0.0753279443666117	1.17935286110352	0.23825769730904	0.682927669481384
10059	ENSG00000230424.3	EMC1-AS1	chr1	19210348	19240709	lncRNA	+	30361	329.270058568772	-0.0774738966504932	0.126172774485178	-0.614030221389755	0.539195356802406	0.873228197789059
3685	ENSG00000127463.16	EMC1	chr1	19215660	19251552	protein_coding	-	35892	896.466715334763	-0.122141467282496	0.0756415747940353	-1.61473987836815	0.106367037732054	0.499152188455683
463	ENSG00000053372.5	MRTO4	chr1	19251805	19260128	protein_coding	+	8323	398.009492495673	-0.150502517549837	0.0914975148092329	-1.64488093325405	0.0999943676204859	0.487323307640256
462	ENSG00000053371.13	AKR7A2	chr1	19303965	19312144	protein_coding	-	8179	147.080085630759	0.00466951706960294	0.161638461793376	0.0288886507443509	0.976953397239532	0.998392598105924
369	ENSG00000040487.13	SLC66A1	chr1	19312326	19329300	protein_coding	+	16974	302.818651159059	0.157540281360099	0.147746325907939	1.06628899495113	0.286293022758523	0.7221010548685
917	ENSG00000077549.19	CAPZB	chr1	19338775	19485539	protein_coding	-	146764	3674.94315010083	0.135082244043245	0.0728457895186951	1.85435898129126	0.0636878190712854	0.396006287106213
7402	ENSG00000169914.6	OTUD3	chr1	19882395	19912945	protein_coding	+	30550	892.658760937234	-0.0146666491381468	0.0870995628534467	-0.168389468989929	0.866276892340743	0.972756114754441
6414	ENSG00000162543.6	UBXN10	chr1	20186096	20196050	protein_coding	+	9954	67.3016450969931	-0.241694085990008	0.205598023570077	-1.17556619364888	0.23976827135524	NA
